연도,작목군,작목명,지역,면적,생산량
2020,특약용작물,감초,대전,0.0,0.0
2020,특약용작물,감초,부산,0.0,0.0
2020,특약용작물,감초,서울,0.0,0.0
2020,특약용작물,감초,세종,0.0,0.0
2020,특약용작물,감초,울산,0.0,0.0
2020,특약용작물,감초,인천,0.0,0.0
2020,특약용작물,감초,전남,0.0,0.0
2020,특약용작물,감초,전북,0.0,0.0
2020,특약용작물,감초,제주,0.0,0.0
2020,특약용작물,감초,충남,0.0,0.0
2020,특약용작물,감초,충북,26.0,163.0
2020,특약용작물,감초,전국,37.0,208.0
2021,특약용작물,감초,강원,1.0,10.0
2021,특약용작물,감초,경기,0.0,0.0
2021,특약용작물,감초,경남,0.0,0.0
2021,특약용작물,감초,경북,8.0,33.0
2021,특약용작물,감초,광주,0.0,0.0
2021,특약용작물,감초,대구,0.0,0.0
2021,특약용작물,감초,대전,0.0,0.0
2021,특약용작물,감초,부산,0.0,0.0
2021,특약용작물,감초,서울,0.0,0.0
2021,특약용작물,감초,세종,0.0,0.0
2021,특약용작물,감초,울산,0.0,0.0
2021,특약용작물,감초,인천,0.0,0.0
2021,특약용작물,감초,전남,0.0,8.0
2021,특약용작물,감초,전북,1.0,0.0
2021,특약용작물,감초,제주,0.0,0.0
2021,특약용작물,감초,충남,0.0,0.0
2021,특약용작물,감초,충북,26.0,164.0
2021,특약용작물,감초,전국,36.0,215.0
2022,특약용작물,감초,강원,4.0,10.0
2022,특약용작물,감초,경기,0.0,0.0
2022,특약용작물,감초,경남,0.0,0.0
2022,특약용작물,감초,경북,8.0,34.0
2022,특약용작물,감초,광주,0.0,0.0
2022,특약용작물,감초,대구,0.0,0.0
2022,특약용작물,감초,대전,0.0,0.0
2022,특약용작물,감초,부산,0.0,0.0
2022,특약용작물,감초,서울,0.0,0.0
2022,특약용작물,감초,세종,0.0,0.0
2022,특약용작물,감초,울산,0.0,0.0
2022,특약용작물,감초,인천,0.0,0.0
2022,특약용작물,감초,전남,0.0,0.0
2022,특약용작물,감초,전북,1.0,0.0
2022,특약용작물,감초,제주,0.0,0.0
2022,특약용작물,감초,충남,0.0,0.0
2022,특약용작물,감초,충북,28.0,194.0
2022,특약용작물,감초,전국,41.0,238.0
2023,특약용작물,감초,강원,4.0,10.0
2023,특약용작물,감초,경기,0.0,0.0
2023,특약용작물,감초,경남,1.0,0.0
2023,특약용작물,감초,경북,8.0,34.0
2023,특약용작물,감초,광주,0.0,0.0
2023,특약용작물,감초,대구,0.0,0.0
2023,특약용작물,감초,대전,0.0,0.0
2023,특약용작물,감초,부산,0.0,0.0
2023,특약용작물,감초,서울,0.0,0.0
2023,특약용작물,감초,세종,0.0,0.0
2023,특약용작물,감초,울산,0.0,0.0
2023,특약용작물,감초,인천,0.0,0.0
2023,특약용작물,감초,전남,0.0,0.0
2023,특약용작물,감초,전북,1.0,0.0
2023,특약용작물,감초,제주,0.0,0.0
2023,특약용작물,감초,충남,0.0,0.0
2023,특약용작물,감초,충북,26.0,196.0
2023,특약용작물,감초,전국,40.0,240.0
2024,특약용작물,감초,강원,2.0,3.0
2024,특약용작물,감초,경기,0.0,0.0
2024,특약용작물,감초,경남,1.0,0.0
2024,특약용작물,감초,경북,8.0,32.0
2024,특약용작물,감초,광주,0.0,0.0
2024,특약용작물,감초,대구,0.0,0.0
